species,n_records,n_presence_patches,auc_mean,auc_std,accuracy_mean,precision_mean,recall_mean,f1_mean,mcc_mean,kappa_mean,tss_mean
Luzula campestris,754,565,0.8122327511942988,0.01550330153829361,0.7964601769911503,0.717664892043774,0.30619469026548674,0.4290524448358738,0.37314797649601633,0.32882912159674654,0.26607669616519175
Telekia speciosa,102,82,0.8119834933973589,0.057614711972513874,0.7957109557109556,0.765,0.2926470588235294,0.4155977355977356,0.3784041143155187,0.3196935039885781,0.2559939975990396
Lysimachia nummularia,896,737,0.8119250345116764,0.01603941372250635,0.7910408333573135,0.6739526352112164,0.3175032175032175,0.4310787862323434,0.3576095839798601,0.32308321635509973,0.26639446700527564
Sparganium natans,43,33,0.8117919799498747,0.08863980323333441,0.7578347578347578,0.6533333333333334,0.2095238095238095,0.2915873015873016,0.2426015100920885,0.1853629580943501,0.14952380952380953
Typha angustifolia,85,69,0.8117707495756277,0.04236259899821748,0.7716883116883118,0.7,0.1725274725274725,0.2735294117647059,0.2597492884857171,0.19056649726561264,0.14372375591887782
Cynoglossum officinale,208,152,0.811769621215624,0.05801671634554309,0.7878065302804498,0.7157342657342657,0.2632258064516129,0.38372531231294704,0.33956329762554305,0.2861203044300978,0.22586316908897558
Origanum vulgare,5136,3453,0.811703802917888,0.0053583375005342064,0.7814214837999708,0.6294698025020471,0.30668596237337187,0.4121277487856398,0.3261604556100268,0.2970242797275742,0.24635092567425984
Taraxacum officinale,2021,1474,0.8116557570398131,0.008275231157878817,0.7964758988513678,0.6972665942182064,0.32705407586763513,0.44416308116547815,0.37634839146930466,0.3395585066338554,0.28002030538421363
Galinsoga parviflora,61,52,0.8114112903225805,0.07177877233110211,0.7594657375145181,0.3380952380952381,0.1690909090909091,0.22124542124542126,0.1470090469834769,0.1423481132044842,0.12433284457478004
Polytrichum strictum,67,47,0.8113437328954569,0.05859026473976817,0.7553342816500713,0.5,0.12666666666666665,0.19384615384615386,0.16367819583194837,0.11897759832941295,0.09095238095238098
Tomentypnum nitens,78,47,0.8111685823754788,0.14482700503912774,0.7766714082503556,0.9,0.12666666666666665,0.21999999999999997,0.2808456812926341,0.16683440868523733,0.11952380952380955
Barbarea vulgaris,625,509,0.8108393335788285,0.004310702004919949,0.7966553451847569,0.7033004142957533,0.3260143661424966,0.44299802092905544,0.37772387099147114,0.33913602801385145,0.2795127053688975
Linum usitatissimum,83,69,0.8107184337149494,0.05657813543531131,0.7898051948051948,0.6411688311688312,0.3747252747252747,0.4599028340080971,0.3685752650772952,0.343838133655707,0.3021352631108728
